rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
6844,sample_006334,0.93168969,0.97832884,0.86173096,20,0.98013031;0.97751981;0.97733641,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006334_dinov2_base_adjacent_similarity.csv
6845,sample_007763,0.93166990,0.96325918,0.88428599,20,0.97425544;0.96373135;0.95179075,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007763_dinov2_base_adjacent_similarity.csv
6846,sample_016091,0.93166783,0.95826781,0.89176786,20,0.97168761;0.95352471;0.94959110,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_016091_dinov2_base_adjacent_similarity.csv
6847,sample_012469,0.93166178,0.95059568,0.90326094,20,0.95171845;0.95152903;0.94853956,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012469_dinov2_base_adjacent_similarity.csv
6848,sample_012268,0.93165520,0.96427395,0.88272709,20,0.96603668;0.96377277;0.96301240,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012268_dinov2_base_adjacent_similarity.csv
6849,sample_006411,0.93163843,0.97544497,0.86592863,20,0.97901976;0.97422093;0.97309422,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006411_dinov2_base_adjacent_similarity.csv
6850,sample_011992,0.93163090,0.96183686,0.88632196,20,0.97345889;0.96523094;0.94682074,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_011992_dinov2_base_adjacent_similarity.csv
6851,sample_004471,0.93162245,0.96464098,0.88209467,20,0.97346640;0.96730411;0.95315242,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004471_dinov2_base_adjacent_similarity.csv
6852,sample_005521,0.93160464,0.98606952,0.84990732,20,0.99335980;0.98249495;0.98235381,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005521_dinov2_base_adjacent_similarity.csv
6853,sample_007837,0.93160346,0.95745842,0.89282103,20,0.96698356;0.96676242;0.93862927,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007837_dinov2_base_adjacent_similarity.csv
6854,sample_005023,0.93159684,0.99128423,0.84206576,20,0.99159861;0.99147409;0.99078000,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005023_dinov2_base_adjacent_similarity.csv
6855,sample_005548,0.93156990,0.98471946,0.85184556,20,0.98790509;0.98697972;0.97927356,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005548_dinov2_base_adjacent_similarity.csv
6856,sample_005480,0.93154847,0.98646025,0.84918080,20,0.98740983;0.98629862;0.98567230,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005480_dinov2_base_adjacent_similarity.csv
6857,sample_008011,0.93153363,0.96804653,0.87676427,20,0.97641194;0.97035873;0.95736891,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008011_dinov2_base_adjacent_similarity.csv
6858,sample_002847,0.93152970,0.96923679,0.87496907,20,0.97535193;0.97485727;0.95750117,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002847_dinov2_base_adjacent_similarity.csv
6859,sample_004189,0.93152845,0.96678559,0.87864273,20,0.97349703;0.96373546;0.96312428,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004189_dinov2_base_adjacent_similarity.csv
6860,sample_005018,0.93152277,0.99298827,0.83932452,20,0.99449337;0.99412405;0.99034739,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005018_dinov2_base_adjacent_similarity.csv
6861,sample_005477,0.93151521,0.98671919,0.84870924,20,0.98982400;0.98639178;0.98394179,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005477_dinov2_base_adjacent_similarity.csv
6862,sample_012078,0.93151273,0.95768791,0.89224995,20,0.96579045;0.96566617;0.94160712,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012078_dinov2_base_adjacent_similarity.csv
6863,sample_012127,0.93150593,0.95176061,0.90112390,20,0.95902914;0.94870508;0.94754761,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012127_dinov2_base_adjacent_similarity.csv
6864,sample_006388,0.93150371,0.97060841,0.87284666,20,0.97862744;0.96917939;0.96401840,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006388_dinov2_base_adjacent_similarity.csv
6865,sample_005006,0.93149376,0.98177345,0.85607422,20,0.98310941;0.98275888;0.97945207,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005006_dinov2_base_adjacent_similarity.csv
6866,sample_005547,0.93149113,0.98407990,0.85260797,20,0.98775387;0.98283148;0.98165435,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005547_dinov2_base_adjacent_similarity.csv
6867,sample_012674,0.93148491,0.95233987,0.90020247,20,0.95738643;0.95634258;0.94329059,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_012674_dinov2_base_adjacent_similarity.csv
6868,sample_011947,0.93147718,0.96718659,0.87791305,20,0.97568244;0.97362137;0.95225596,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_011947_dinov2_base_adjacent_similarity.csv
6869,sample_006337,0.93147281,0.96122698,0.88684155,20,0.97102576;0.95636970;0.95628548,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006337_dinov2_base_adjacent_similarity.csv
6870,sample_003367,0.93146578,0.96768638,0.87713488,20,0.98706061;0.95954615;0.95645237,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_003367_dinov2_base_adjacent_similarity.csv
6871,sample_006383,0.93145832,0.96667780,0.87862909,20,0.97416747;0.96861809;0.95724785,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006383_dinov2_base_adjacent_similarity.csv
6872,sample_013132,0.93145753,0.96826208,0.87625071,20,0.97445267;0.96653730;0.96379626,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_013132_dinov2_base_adjacent_similarity.csv
6873,sample_011882,0.93143890,0.95579119,0.89491045,20,0.95983702;0.95743501;0.95010155,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_011882_dinov2_base_adjacent_similarity.csv
6874,sample_010363,0.93143589,0.95347961,0.89837031,20,0.96130782;0.95853490;0.94059610,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010363_dinov2_base_adjacent_similarity.csv
6875,sample_007942,0.93143144,0.95354013,0.89826840,20,0.95746613;0.95560431;0.94754994,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_007942_dinov2_base_adjacent_similarity.csv
6876,sample_006303,0.93142005,0.96034152,0.88803784,20,0.96645892;0.95799685;0.95656878,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_006303_dinov2_base_adjacent_similarity.csv
6877,sample_004824,0.93141532,0.96992201,0.87365530,20,0.98559493;0.96732140;0.95684969,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004824_dinov2_base_adjacent_similarity.csv
6878,sample_008376,0.93140404,0.95195009,0.90058496,20,0.97736931;0.94066042;0.93782055,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_008376_dinov2_base_adjacent_similarity.csv
6879,sample_005212,0.93139922,0.97484656,0.86622819,20,0.98121899;0.97491527;0.96840543,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_005212_dinov2_base_adjacent_similarity.csv
