sample,score_top5_mean,num_pairs,top_values,csv_path
sample_009828,0.99486475,20,0.99534196;0.99503684;0.99473697;0.99472427;0.99448371,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009828_dinov2_base_adjacent_similarity.csv
sample_000046,0.99484713,20,0.99539959;0.99524903;0.99475729;0.99472356;0.99410617,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000046_dinov2_base_adjacent_similarity.csv
sample_009725,0.99483701,20,0.99611008;0.99542069;0.99464083;0.99433726;0.99367619,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009725_dinov2_base_adjacent_similarity.csv
sample_009847,0.99483685,20,0.99563241;0.99544626;0.99475145;0.99452937;0.99382478,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009847_dinov2_base_adjacent_similarity.csv
sample_009841,0.99482428,20,0.99547368;0.99514055;0.99463856;0.99460435;0.99426425,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009841_dinov2_base_adjacent_similarity.csv
sample_009837,0.99482243,20,0.99611098;0.99531287;0.99528849;0.99403393;0.99336588,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009837_dinov2_base_adjacent_similarity.csv
sample_000052,0.99480032,20,0.99815094;0.99700129;0.99662256;0.99360859;0.98861820,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000052_dinov2_base_adjacent_similarity.csv
sample_004911,0.99477233,20,0.99716938;0.99634331;0.99623019;0.99280173;0.99131703,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004911_dinov2_base_adjacent_similarity.csv
sample_009752,0.99476825,20,0.99520326;0.99492049;0.99476802;0.99468356;0.99426591,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009752_dinov2_base_adjacent_similarity.csv
sample_009567,0.99475318,20,0.99687558;0.99516994;0.99503481;0.99355513;0.99313045,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009567_dinov2_base_adjacent_similarity.csv
sample_009763,0.99473659,20,0.99551678;0.99510634;0.99448383;0.99438500;0.99419099,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009763_dinov2_base_adjacent_similarity.csv
sample_009748,0.99472753,20,0.99530011;0.99523073;0.99484229;0.99452943;0.99373507,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009748_dinov2_base_adjacent_similarity.csv
sample_009745,0.99471452,20,0.99514806;0.99503988;0.99487829;0.99425846;0.99424791,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009745_dinov2_base_adjacent_similarity.csv
sample_000701,0.99471202,20,0.99519807;0.99492288;0.99480313;0.99442810;0.99420792,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000701_dinov2_base_adjacent_similarity.csv
sample_000669,0.99469931,20,0.99686712;0.99625319;0.99541169;0.99332649;0.99163806,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000669_dinov2_base_adjacent_similarity.csv
sample_009820,0.99469718,20,0.99554092;0.99527067;0.99501121;0.99433333;0.99332976,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009820_dinov2_base_adjacent_similarity.csv
sample_009765,0.99469208,20,0.99589163;0.99459338;0.99456096;0.99454379;0.99387062,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009765_dinov2_base_adjacent_similarity.csv
sample_000507,0.99465392,20,0.99799269;0.99736273;0.99685735;0.99198687;0.98906994,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000507_dinov2_base_adjacent_similarity.csv
sample_009862,0.99465161,20,0.99578750;0.99475098;0.99452639;0.99416316;0.99403000,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009862_dinov2_base_adjacent_similarity.csv
sample_009731,0.99464763,20,0.99532771;0.99483085;0.99444443;0.99439204;0.99424314,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009731_dinov2_base_adjacent_similarity.csv
sample_009753,0.99464266,20,0.99509752;0.99484444;0.99452102;0.99440736;0.99434298,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009753_dinov2_base_adjacent_similarity.csv
sample_002623,0.99461441,20,0.99498272;0.99476773;0.99458516;0.99445426;0.99428219,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_002623_dinov2_base_adjacent_similarity.csv
sample_009769,0.99461221,20,0.99534607;0.99524415;0.99420577;0.99416149;0.99410355,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009769_dinov2_base_adjacent_similarity.csv
sample_009254,0.99460527,20,0.99533457;0.99533236;0.99490058;0.99474609;0.99271274,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009254_dinov2_base_adjacent_similarity.csv
sample_009620,0.99459477,20,0.99678344;0.99666834;0.99641156;0.99271631;0.99039418,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009620_dinov2_base_adjacent_similarity.csv
sample_009721,0.99457758,20,0.99567223;0.99469817;0.99422705;0.99421042;0.99408001,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009721_dinov2_base_adjacent_similarity.csv
sample_009757,0.99456669,20,0.99493277;0.99468875;0.99457860;0.99431825;0.99431509,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009757_dinov2_base_adjacent_similarity.csv
sample_004909,0.99456302,20,0.99735796;0.99704987;0.99414611;0.99224329;0.99201787,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004909_dinov2_base_adjacent_similarity.csv
sample_009381,0.99455282,20,0.99609804;0.99561197;0.99560183;0.99377108;0.99168116,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009381_dinov2_base_adjacent_similarity.csv
sample_009767,0.99454610,20,0.99531627;0.99509901;0.99443245;0.99408996;0.99379283,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009767_dinov2_base_adjacent_similarity.csv
sample_000634,0.99454572,20,0.99593967;0.99584669;0.99502784;0.99340045;0.99251395,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000634_dinov2_base_adjacent_similarity.csv
sample_000665,0.99453728,20,0.99660850;0.99568802;0.99409360;0.99370837;0.99258792,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000665_dinov2_base_adjacent_similarity.csv
sample_009821,0.99452825,20,0.99537206;0.99496710;0.99439037;0.99434400;0.99356771,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009821_dinov2_base_adjacent_similarity.csv
sample_009726,0.99452692,20,0.99489051;0.99455571;0.99452519;0.99451464;0.99414855,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009726_dinov2_base_adjacent_similarity.csv
sample_000053,0.99452416,20,0.99702173;0.99458593;0.99435675;0.99347383;0.99318254,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000053_dinov2_base_adjacent_similarity.csv
sample_009764,0.99449249,20,0.99502170;0.99477398;0.99462175;0.99415559;0.99388945,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009764_dinov2_base_adjacent_similarity.csv
sample_004923,0.99449195,20,0.99645418;0.99485838;0.99414241;0.99408007;0.99292469,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_004923_dinov2_base_adjacent_similarity.csv
sample_009720,0.99448706,20,0.99579918;0.99522668;0.99426222;0.99408722;0.99305999,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009720_dinov2_base_adjacent_similarity.csv
sample_009737,0.99447713,20,0.99583423;0.99452341;0.99433655;0.99400294;0.99368852,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009737_dinov2_base_adjacent_similarity.csv
sample_009809,0.99447693,20,0.99512970;0.99487913;0.99464673;0.99416906;0.99356002,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009809_dinov2_base_adjacent_similarity.csv
